Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
L. Messi,Argentina,33,93,93,"



FC Barcelona","RW, ST, CF",RW,€103.5M,560000,€138.4M,2231,0.00016607142857142857
Cristiano Ronaldo,Portugal,35,92,92,"



Juventus","ST, LW",ST,€63M,220000,€75.9M,2221,0.0004181818181818182
J. Oblak,Slovenia,27,91,93,"



Atlético Madrid",GK,GK,€120M,125000,€159.4M,1413,0.000728
K. De Bruyne,Belgium,29,91,91,"



Manchester City","CAM, CM",CAM,€129M,370000,€161M,2304,0.00024594594594594594
Neymar Jr,Brazil,28,91,91,"



Paris Saint-Germain","LW, CAM",LW,€132M,270000,€166.5M,2175,0.00033703703703703706
R. Lewandowski,Poland,31,91,91,"



FC Bayern München",ST,ST,€111M,240000,€132M,2195,0.00037916666666666665
M. Salah,Egypt,28,90,90,"



Liverpool",RW,RW,€120.5M,250000,€144.3M,2211,0.00036
Alisson,Brazil,27,90,91,"



Liverpool",GK,GK,€102M,160000,€120.3M,1389,0.0005625
K. Mbappé,France,21,90,95,"



Paris Saint-Germain","ST, LW, RW",ST,€185.5M,160000,€203.1M,2147,0.0005625
M. ter Stegen,Germany,28,90,93,"



FC Barcelona",GK,GK,€110M,260000,€147.7M,1442,0.00034615384615384613
V. van Dijk,Netherlands,28,90,91,"



Liverpool",CB,CB,€113M,210000,€145.3M,2112,0.00042857142857142855
S. Mané,Senegal,28,90,90,"



Liverpool",LW,LW,€120.5M,250000,€144.3M,2203,0.00036
Casemiro,Brazil,28,89,89,"



Real Madrid",CDM,CDM,€90.5M,310000,€122M,2220,0.0002870967741935484
T. Courtois,Belgium,28,89,90,"



Real Madrid",GK,GK,€82M,250000,€119M,1325,0.000356
M. Neuer,Germany,34,89,89,"



FC Bayern München",GK,GK,€17.5M,130000,€47.9M,1515,0.0006846153846153846
K. Benzema,France,32,89,89,"



Real Madrid","CF, ST",CF,€83.5M,350000,€108.7M,2111,0.00025428571428571427
Sergio Ramos,Spain,34,89,89,"



Real Madrid",CB,CB,€33.5M,300000,€50.2M,2258,0.00029666666666666665
S. Agüero,Argentina,32,89,89,"



Manchester City",ST,ST,€83.5M,300000,€98.1M,2118,0.00029666666666666665
R. Sterling,England,25,88,90,"



Manchester City","LW, RW",LW,€114.5M,270000,€139.6M,2111,0.0003259259259259259
N. Kanté,France,29,88,88,"



Chelsea","CDM, CM",CDM,€78M,190000,€96.9M,2169,0.0004631578947368421
J. Kimmich,Germany,25,88,90,"



FC Bayern München","CDM, RB",CDM,€103M,145000,€112.1M,2269,0.0006068965517241379
P. Dybala,Argentina,26,88,89,"



Juventus","CF, CAM",CAM,€109M,190000,€122.5M,2154,0.0004631578947368421
Ederson,Brazil,26,88,91,"



Manchester City",GK,GK,€92M,195000,€103M,1534,0.00045128205128205126
H. Kane,England,26,88,89,"



Tottenham Hotspur",ST,ST,€109M,220000,€140.2M,2172,0.0004
S. Handanovič,Slovenia,35,88,88,"



Inter",GK,GK,€10M,100000,€27.2M,1317,0.00088
K. Koulibaly,Senegal,29,88,88,"



Napoli",CB,CB,€76.5M,140000,€85M,1734,0.0006285714285714285
E. Hazard,Belgium,29,88,88,"



Real Madrid","LW, ST",LW,€89.5M,350000,€118.9M,2105,0.00025142857142857145
T. Kroos,Germany,30,88,88,"



Real Madrid",CM,CM,€87.5M,310000,€112.8M,2150,0.0002838709677419355
A. Griezmann,France,29,87,87,"



FC Barcelona","ST, CF, LW",ST,€79.5M,290000,€103.5M,2288,0.0003
J. Sancho,England,20,87,93,"



Borussia Dortmund","RM, LM, CAM",CAM,€124M,82000,€132.1M,1986,0.0010609756097560976
T. Alexander-Arnold,England,21,87,92,"



Liverpool",RB,RB,€114M,110000,€115.5M,2220,0.0007909090909090909
Bernardo Silva,Portugal,25,87,88,"



Manchester City","RW, CAM, CM",RW,€95M,230000,€115.5M,2124,0.0003782608695652174
A. Robertson,Scotland,26,87,89,"



Liverpool",LB,LB,€90.5M,155000,€102M,2127,0.0005612903225806451
A. Laporte,France,26,87,90,"



Manchester City",CB,CB,€92.5M,200000,€107.8M,1983,0.000435
Bruno Fernandes,Portugal,25,87,90,"



Manchester United","CAM, CM",CAM,€105.5M,195000,€124.4M,2303,0.0004461538461538462
Fabinho,Brazil,26,87,89,"



Liverpool",CDM,CDM,€88.5M,155000,€104.9M,2171,0.0005612903225806451
H. Son,Korea Republic,27,87,87,"



Tottenham Hotspur","LM, CF",LM,€85M,165000,€99.8M,2128,0.0005272727272727272
Roberto Firmino,Brazil,28,87,87,"



Liverpool",CF,CF,€81.5M,190000,€96.2M,2208,0.00045789473684210527
K. Navas,Costa Rica,33,87,87,"



Paris Saint-Germain",GK,GK,€26M,110000,€50M,1380,0.0007909090909090909
G. Chiellini,Italy,35,87,87,"



Juventus",CB,CB,€21M,95000,€25.6M,1830,0.0009157894736842105
Sergio Busquets,Spain,31,87,87,"



FC Barcelona","CDM, CM",CDM,€56M,240000,€77.9M,2021,0.0003625
P. Aubameyang,Gabon,31,87,87,"



Arsenal","ST, LW",ST,€67.5M,170000,€85.5M,2072,0.000511764705882353
W. Szczęsny,Poland,30,87,87,"



Juventus",GK,GK,€53M,105000,€56.1M,1317,0.0008285714285714286
A. Di María,Argentina,32,87,87,"



Paris Saint-Germain","RW, LW",RW,€63M,160000,€72.2M,2168,0.00054375
L. Modrić,Croatia,34,87,87,"



Real Madrid",CM,CM,€36.5M,260000,€50.2M,2252,0.0003346153846153846
L. Suárez,Uruguay,33,87,87,"



Atlético Madrid",ST,ST,€51M,115000,€64.6M,2316,0.0007565217391304348
H. Lloris,France,33,87,87,"



Tottenham Hotspur",GK,GK,€26M,125000,€51.3M,1361,0.000696
C. Immobile,Italy,30,87,87,"



Lazio",ST,ST,€78M,125000,€82.5M,2057,0.000696
T. Müller,Germany,30,86,86,"



FC Bayern München","CAM, RM, RW",CAM,€65.5M,130000,€69.3M,2117,0.0006615384615384616
De Gea,Spain,29,86,86,"



Manchester United",GK,GK,€46.5M,150000,€59.9M,1449,0.0005733333333333334
Carvajal,Spain,28,86,86,"



Real Madrid",RB,RB,€61.5M,230000,€77.9M,2133,0.0003739130434782609
R. Varane,France,27,86,88,"



Real Madrid",CB,CB,€72.5M,220000,€98.8M,1933,0.0003909090909090909
M. Verratti,Italy,27,86,87,"



Paris Saint-Germain","CM, CDM",CM,€77.5M,135000,€96.3M,2168,0.0006370370370370371
P. Pogba,France,27,86,87,"



Manchester United","CM, CDM",CM,€77.5M,190000,€98.8M,2235,0.0004526315789473684
J. Vardy,England,33,86,86,"



Leicester City",ST,ST,€43.5M,160000,€53.2M,2119,0.0005375
Piqué,Spain,33,86,86,"



FC Barcelona",CB,CB,€32.5M,220000,€43.1M,1991,0.0003909090909090909
